"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Waterlopen"	"{52F5F808-4497-443a-817E-AB2743F93737}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"DATATYPE"	"OSLO-Onderdeel"	"DtcBetuiningHout"	"{84FB40D4-1069-40d5-A349-3C53672AB793}"	""	""	""	""	"Betuining van hout"	"Complex datatype voor een houten plankenbetuining of damwandbetuining."	""	"Betuining van hout"	"Complex datatype voor een houten plankenbetuining of damwandbetuining."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"DtcBetuiningHout"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Onderdeel"	"DtcBetuiningGerecycleerd"	"{CDDA3D77-BCD3-4ae6-9070-C8D314D0FDB8}"	""	""	""	""	"Betuining van gerecycleerd materiaal"	"Complex datatype voor een gerecycleerde plankenbetuining of damwandbetuining."	""	"Betuining van gerecycleerd materiaal"	"Complex datatype voor een gerecycleerde plankenbetuining of damwandbetuining."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"DtcBetuiningGerecycleerd"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Onderdeel"	"DtcBetuiningBeton"	"{A306ECFE-9719-4cbd-B447-9A05DD983FA4}"	""	""	""	""	"Betuining van beton"	"Complex datatype voor een betonnen plankenbetuining of damwandbetuing."	""	"Betuining van beton"	"Complex datatype voor een betonnen plankenbetuining of damwandbetuing."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"DtcBetuiningBeton"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Installatie"	"TeenOnderwatertalud"	"{6BAF2B53-1000-42d9-B3D8-129D5D361966}"	""	""	""	""	"Teenonderwatertalud"	"Snijlijn van een taludvlak met het bodemvlak."	""	"Teenonderwatertalud"	"Snijlijn van een taludvlak met het bodemvlak."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/installatie#"	"TeenOnderwatertalud"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Waterloop"	"{57D10DCF-BB9F-472d-B523-B88D7D6D812C}"	"WaterloopRelatie"	""	""	""	"Waterloop"	"Oorspronklijk natuurlijke watergeul in het landschap waarin water stroomt."	""	"Waterloop"	"Oorspronklijk natuurlijke watergeul in het landschap waarin water stroomt."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"Waterloop"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#WaterloopRelatie"	""	""
"CLASS"	"OSLO-Onderdeel"	"Kanaal"	"{79487C18-C627-43f5-85D3-2564DC4D7F25}"	"WaterloopRelatie"	""	""	""	"Kanaal"	"Een kanaal is een door de mens gegraven waterweg."	""	"Kanaal"	"Een kanaal is een door de mens gegraven waterweg."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"Kanaal"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#WaterloopRelatie"	""	""
"CLASS"	"OSLO-Abstracten"	"BegroeidVoorkomen"	"{09E5710C-6AD7-4d52-B15A-6D3A563007B0}"	""	""	""	""	"Begroeid voorkomen"	"Abstracte die alle gemeenschappelijke eigenschappen omtrent begroeid voorkomen opsomt."	""	"Begroeid voorkomen"	"Abstracte die alle gemeenschappelijke eigenschappen omtrent begroeid voorkomen opsomt."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#"	"BegroeidVoorkomen"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"HardhoutenMat"	"{ADAD7DC3-3377-4311-8E12-711826AC95E5}"	"Betuining"	""	""	""	"Hardhouten mat"	"Teenbetuining van hardhouten matten."	""	"Hardhouten mat"	"Teenbetuining van hardhouten matten."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"HardhoutenMat"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/installatie#Betuining"	""	""
"CLASS"	"OSLO-Onderdeel"	"GeprefabriceerdBetonelement"	"{DEB3EBBB-BEAF-40df-83EB-DD0727D6A19A}"	"Betuining"	""	""	""	"Geprefabriceerd betonelement"	"Teenbetuining van geprefabriceerde betonelementen."	""	"Geprefabriceerd betonelement"	"Teenbetuining van geprefabriceerde betonelementen."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"GeprefabriceerdBetonelement"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/installatie#Betuining"	""	""
"CLASS"	"OSLO-Onderdeel"	"Plankenbetuining"	"{B1CE2ED5-D81E-4b9b-AF72-DFD4363AC7BB}"	"Betuining"	""	""	""	"Plankenbetuining"	"Teenbetuining van planken."	""	"Plankenbetuining"	"Teenbetuining van planken."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"Plankenbetuining"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/installatie#Betuining"	""	""
"CLASS"	"OSLO-Onderdeel"	"Kruininsteek"	"{D0DCF373-0DCC-4144-8875-D83A1A7CAF6C}"	""	""	""	""	"Kruininsteek"	"De snijlijn van de dijkkruin met het dijktalud."	""	"Kruininsteek"	"De snijlijn van de dijkkruin met het dijktalud."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#"	"Kruininsteek"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"Laag"	"{58E7E3BD-A9A9-4e04-957D-942F897D7ED8}"	""	""	""	""	"Laag"	"Abstracte voor de gemeenschappelijke eigenschappen van de onderliggende verhardings- en funderings-onderdelen."	""	"Laag"	"Abstracte voor de gemeenschappelijke eigenschappen van de onderliggende verhardings- en funderings-onderdelen."	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#"	"Laag"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
