"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Riolering"	"{D6BED566-3C6C-4f0e-A2F8-22C421738430}"	""	""	""	""	""	""	""	""	""	""	""	""	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/riolering/ontwerpdocument/"	"alt"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Riolering"	"GecombineerdePut"	"{41168E72-D282-4e63-9E1B-0A15208FB040}"	""	""	""	""	"Gecombineerde put"	"Alle putrelaties"	""	"Gecombineerde put"	"Alle putrelaties"	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/riolering/ontwerpdocument/alt#"	"GecombineerdePut"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Riolering"	"Reservoir"	"{4EC12A6E-1B33-43c1-9C0D-7CE51233512C}"	"Kamer"	""	""	""	"Reservoir"	"Een reservoir is een complexe kamer welke verschillende niveaus en gekoppelde oppervlaktes kan
 vertonen."	""	"Reservoir"	"Een reservoir is een complexe kamer welke verschillende niveaus en gekoppelde oppervlaktes kan
 vertonen."	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/riolering/ontwerpdocument/alt#"	"Reservoir"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/riolering/ontwerpdocument/alt#Kamer"	""	""
"CLASS"	"OSLO-Riolering"	"Infiltratievoorziening"	"{6F7FCFE5-FAC6-41a9-B27F-F8FD11C2C15B}"	"PutRelatie, Put"	""	""	""	"Infiltratievoorziening"	"Voorziening voor infiltratie van onvervuild water."	""	"Infiltratievoorziening"	"Voorziening voor infiltratie van onvervuild water."	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/riolering/ontwerpdocument/alt#"	"Infiltratievoorziening"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/riolering/ontwerpdocument/alt#Put, https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/riolering/ontwerpdocument/alt#PutRelatie"	""	""
"CLASS"	"OSLO-Riolering"	"Put"	"{E7B646E5-1F24-4c7c-AC29-D842B3261824}"	""	""	""	""	"Put"	"Abstracte bedoeld om de verschillende soort putten onder te brengen en gemeenschappelijke eigenschappen over te dragen. De relaties worden overgedragen via de abstracte PutRelaties."	""	"Put"	"Abstracte bedoeld om de verschillende soort putten onder te brengen en gemeenschappelijke eigenschappen over te dragen. De relaties worden overgedragen via de abstracte PutRelaties."	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/riolering/ontwerpdocument/alt#"	"Put"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Riolering"	"Straatkolk"	"{7877EBDA-97D0-46f4-9A82-B4AD61310706}"	"PutRelatie, Put"	""	""	""	"Straatkolk"	"De hemelwaterinlaatconstructie, meestal geplaatst in de straatgoot of watergreppel, waarlangs het 
 hemelwater van de verhardingen wordt afgevoerd."	""	"Straatkolk"	"De hemelwaterinlaatconstructie, meestal geplaatst in de straatgoot of watergreppel, waarlangs het 
 hemelwater van de verhardingen wordt afgevoerd."	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/riolering/ontwerpdocument/alt#"	"Straatkolk"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/abstracten#Uitrusting, https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/riolering/ontwerpdocument/alt#Put, https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/riolering/ontwerpdocument/alt#PutRelatie"	""	""
"CLASS"	"OSLO-Riolering"	"Riooltoegang"	"{F867E0BF-D37E-41e6-9510-0968D3972A3E}"	"Put"	""	""	""	"Riooltoegang"	"Het uiteinde van een rioolbuis."	""	"Riooltoegang"	"Het uiteinde van een rioolbuis."	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/riolering/ontwerpdocument/alt#"	"Riooltoegang"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/riolering/ontwerpdocument/alt#Put"	""	""
"CLASS"	"OSLO-Riolering"	"Huisaansluitput"	"{6E601807-6FB6-4918-B6B6-EF2C06BB410F}"	"PutRelatie, Put"	""	""	""	"Huisaansluitput"	"Het constructieonderdeel (putje of T-stuk) dat de verbinding vormt tussen de private riolering en de 
 huisaansluiting."	""	"Huisaansluitput"	"Het constructieonderdeel (putje of T-stuk) dat de verbinding vormt tussen de private riolering en de 
 huisaansluiting."	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/riolering/ontwerpdocument/alt#"	"Huisaansluitput"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/riolering/ontwerpdocument/alt#Put, https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/riolering/ontwerpdocument/alt#PutRelatie"	""	""
"CLASS"	"OSLO-Riolering"	"BlindePut"	"{169AB14B-E487-46d9-84F1-EAB198CD55B0}"	"Put"	""	""	""	"Blinde put"	"Een put waar de riolering op aangesloten is maar die niet meer zichtbaar is."	""	"Blinde put"	"Een put waar de riolering op aangesloten is maar die niet meer zichtbaar is."	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/riolering/ontwerpdocument/alt#"	"BlindePut"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/riolering/ontwerpdocument/alt#Put"	""	""
"CLASS"	"OSLO-Riolering"	"Kopmuur"	"{29E7BAA1-9194-42f5-8A60-8FC9190A6DAC}"	""	""	""	""	"Kopmuur"	"Een kopmuur is een inrichtingselement van de wegbaan, dat gebruikt wordt voor de geleiding van verkeer bij grachten. Een kopmuur is een keermuur die een functie vervult van afwateringssysteem en is in de regel haaks op de hartlijn van de wegcorridor georiënteerd."	""	"Kopmuur"	"Een kopmuur is een inrichtingselement van de wegbaan, dat gebruikt wordt voor de geleiding van verkeer bij grachten. Een kopmuur is een keermuur die een functie vervult van afwateringssysteem en is in de regel haaks op de hartlijn van de wegcorridor georiënteerd."	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/doc/implementatiemodel/riolering/ontwerpdocument/alt#"	"Kopmuur"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
